past_negative,past_negative_raw,past_positive,past_positive_raw,present_fatalism,present_fatalism_raw,present_hedonism,present_hedonism_raw,future,future_raw,physical_activity,total_met,sex,age,population,education,physical_activity_level,physical_activity_importance
2,3.0,2,2.5555555555555554,2,3.0,2,3.533333333333333,3,4.076923076923077,1,369.5,1,25,5,4,3,3
3,4.3,2,2.6666666666666665,2,3.5555555555555554,2,3.066666666666667,2,3.8461538461538463,2,708.5,1,31,2,4,3,3
2,2.2,2,2.6666666666666665,2,2.2222222222222223,2,3.3333333333333335,3,4.538461538461538,2,720.0,1,28,5,4,5,5
2,2.6,2,3.888888888888889,2,3.111111111111111,2,3.4,2,3.076923076923077,2,438.0,3,36,4,4,4,4
2,3.0,2,3.888888888888889,2,3.0,2,3.1333333333333333,2,3.6153846153846154,1,0.0,1,38,5,4,2,3
2,3.1,2,2.888888888888889,1,2.0,2,2.3333333333333335,3,4.230769230769231,1,579.0,1,52,3,4,2,2
2,2.2,3,4.555555555555555,2,3.5555555555555554,3,4.4,3,4.0,2,1734.0,1,59,1,3,5,5
1,1.6,2,3.111111111111111,1,2.0,2,3.2666666666666666,2,3.4615384615384617,2,320.0,1,44,4,4,3,4
3,4.2,2,3.5555555555555554,2,3.7777777777777777,2,3.6,2,3.3846153846153846,2,198.0,1,19,5,3,3,3
2,2.3,3,4.444444444444445,2,2.5555555555555554,2,3.2,2,3.6923076923076925,2,1158.0,3,20,4,3,5,5
2,2.8,2,3.888888888888889,2,2.111111111111111,2,3.2,2,3.6153846153846154,2,626.0,3,22,5,3,5,5
2,3.5,2,3.888888888888889,2,2.7777777777777777,2,3.8666666666666667,2,3.8461538461538463,2,1398.0,1,21,5,3,5,5
2,2.1,2,3.6666666666666665,1,1.8888888888888888,2,3.533333333333333,2,3.769230769230769,1,579.0,1,50,4,4,2,3
2,2.4,2,3.888888888888889,2,2.4444444444444446,2,3.1333333333333333,2,3.6153846153846154,1,720.0,3,45,5,4,4,4
2,2.9,2,3.2222222222222223,2,2.4444444444444446,2,3.4,2,3.5384615384615383,2,1040.0,3,44,1,4,5,5
1,1.8,2,2.4444444444444446,2,2.4444444444444446,2,2.6,2,3.3076923076923075,1,99.0,1,26,4,4,1,1
